"SCTBKEY","DISTRICT"
"480019501001000",6
"480019501001001",6
"480019501001002",6
"480019501001003",6
"480019501001004",6
"480019501001005",6
"480019501001006",6
"480019501001007",6
"480019501001008",6
"480019501001009",6
"480019501001010",6
"480019501001011",6
"480019501001012",6
"480019501001013",6
"480019501001014",6
"480019501001015",6
"480019501001016",6
"480019501001017",6
"480019501001018",6
"480019501001019",6
"480019501001020",6
"480019501001021",6
"480019501001022",6
"480019501001023",6
"480019501001024",6
"480019501001025",6
"480019501001026",6
"480019501001027",6
"480019501001028",6
"480019501001029",6
"480019501001030",6
"480019501001031",6
"480019501001032",6
"480019501001033",6
"480019501001034",6
"480019501001035",6
"480019501001036",6
"480019501001037",6
"480019501001038",6
"480019501001039",6
"480019501001040",6
"480019501001041",6
"480019501001042",6
"480019501001043",6
"480019501001044",6
"480019501001045",6
"480019501001046",6
"480019501001047",6
"480019501001048",6
"480019501001049",6
"480019501001050",6
"480019501001051",6
"480019501001052",6
"480019501001053",6
"480019501001054",6
"480019501001055",6
"480019501001056",6
"480019501001057",6
"480019501001058",6
"480019501001059",6
"480019501001060",6
"480019501001061",6
"480019501001062",6
"480019501001063",6
"480019501001064",6
"480019501001065",6
"480019501001066",6
"480019501001067",6
"480019501001068",6
"480019501001069",6
"480019501001070",6
"480019501001071",6
"480019501001072",6
"480019501001073",6
"480019501001074",6
"480019501001075",6
"480019501001076",6
"480019501001077",6
"480019501001078",6
"480019501001079",6
"480019501001080",6
"480019501001081",6
"480019501001082",6
"480019501001083",6
"480019501001084",6
"480019501001085",6
"480019501001086",6
"480019501001087",6
"480019501001088",6
"480019501001089",6
"480019501001090",6
"480019501001091",6
"480019501002000",6
"480019501002001",6
"480019501002002",6
"480019501002003",6
"480019501002004",6
"480019501002005",6
"480019501002006",6
"480019501002007",6
"480019501002008",6
"480019501002009",6
"480019501002010",6
"480019501002011",6
"480019501002012",6
"480019501002013",6
"480019501002014",6
"480019501002015",6
"480019501002016",6
"480019501002017",6
"480019501002018",6
"480019501002019",6
"480019501002020",6
